,total_cases,total_deaths,log_total_cases,log_total_deaths
1/22/20,555,17,2.744292983122676,1.2304489213782739
1/23/20,654,18,2.815577748324267,1.2552725051033058
1/24/20,941,26,2.9735896234272565,1.414973347970818
1/25/20,1434,42,3.156549151331781,1.6232492903979003
1/26/20,2118,56,3.3259259557714658,1.7481880270062005
1/27/20,2927,82,3.4664227224337916,1.9138138523837167
1/28/20,5578,131,3.7464785099300304,2.117271295655764
1/29/20,6166,133,3.7900035203904894,2.123851640967086
1/30/20,8234,171,3.9156108626614667,2.2329961103921536
1/31/20,9927,213,3.9968180218795153,2.3283796034387376
2/1/20,12038,259,4.080554338988771,2.4132997640812515
2/2/20,16787,362,4.224973090428832,2.558708570533166
2/3/20,19881,426,4.298438225310759,2.629409599102719
2/4/20,23892,492,4.378252506075033,2.69196510276736
2/5/20,27635,564,4.4414594689177935,2.751279103983342
2/6/20,30794,634,4.488466105437689,2.8020892578817325
2/7/20,34391,719,4.536444804149078,2.8567288903828825
2/8/20,37120,806,4.569607967546824,2.9063350418050904
2/9/20,40150,906,4.603685549614699,2.957128197676813
2/10/20,42762,1013,4.631058009180597,3.00560944536028
2/11/20,44802,1113,4.651297401711899,3.0464951643347082
2/12/20,45221,1118,4.655340161938574,3.0484418035504044
2/13/20,60368,1371,4.780806787856919,3.137037454789512
2/14/20,66885,1523,4.825328731405288,3.1826999033360424
2/15/20,69030,1666,4.839037873388306,3.2216749970707683
2/16/20,71224,1770,4.8526263603680855,3.2479732663618064
2/17/20,73258,1868,4.864855057915473,3.2713768718940743
2/18/20,75136,2007,4.875848070895482,3.302547372487485
2/19/20,75639,2122,4.878745778536926,3.3267453795653217
2/20/20,76197,2247,4.8819378727950635,3.351603072419129
2/21/20,76819,2251,4.885468649388534,3.3523754950005196
2/22/20,78572,2458,4.895267807973824,3.3905818785504347
2/23/20,78958,2469,4.897396139155446,3.392521089931932
2/24/20,79561,2629,4.900700233121987,3.4197905861063624
2/25/20,80406,2708,4.9052884575751445,3.4326486600131063
2/26/20,81388,2770,4.910560376412995,3.442479769064448
2/27/20,82746,2814,4.917747008853616,3.449324093098727
2/28/20,84112,2872,4.924857959674349,3.4581844355702622
2/29/20,86011,2941,4.934553996985496,3.468495024507069
3/1/20,88369,2996,4.946299940464345,3.4765418090274287
3/2/20,90306,3085,4.955716606131057,3.4892551683692603
3/3/20,92840,3160,4.96773513178388,3.4996870826184034
3/4/20,95120,3254,4.978271841610635,3.5124175486008395
3/5/20,97886,3348,4.990720581920336,3.5247854493212216
3/6/20,101801,3460,5.007752044133833,3.5390760987927767
3/7/20,105847,3558,5.024678553409665,3.551205943747906
3/8/20,109821,3802,5.040685393958174,3.5800121125294244
3/9/20,113590,3988,5.055340099544181,3.600755149639618
3/10/20,118620,4262,5.074157919697315,3.6296134453781828
3/11/20,125875,4615,5.099939483561674,3.6641717053619303
3/12/20,128352,4720,5.108402640301552,3.6739419986340875
3/13/20,145205,5404,5.161981571150733,3.732715340349993
3/14/20,156101,5819,5.193405685209059,3.7648483571934106
3/15/20,167454,6440,5.223895526060295,3.8088858673598116
3/16/20,181574,7126,5.259053661008138,3.8528458180149965
3/17/20,197102,7905,5.294691031101142,3.8979018742682277
3/18/20,214821,8733,5.332076733909873,3.9411634601584726
3/19/20,242570,9867,5.384837088203684,3.994185128202317
3/20/20,272208,11299,5.434900884661586,4.053040008642746
3/21/20,304507,12973,5.483597280635332,4.11304041808782
3/22/20,336953,14651,5.5275693273871855,4.165867268352943
3/23/20,378231,16505,5.5777571209585215,4.21761552866633
3/24/20,418041,18625,5.621218877948601,4.27009628142033
3/25/20,467653,21181,5.669923724695057,4.325946460220463
3/26/20,529591,23970,5.723940595986875,4.379668034033654
3/27/20,593291,27198,5.773267760304446,4.434536969442331
3/28/20,660693,30652,5.819999705510485,4.486458816884648
3/29/20,720140,33925,5.857416934371549,4.530519856331774
3/30/20,782389,37582,5.893422735858169,4.5749798882139885
3/31/20,857487,42107,5.933227544608613,4.624354300317013
4/1/20,932605,47180,5.969697739519275,4.673757936549576
4/2/20,1013466,52983,6.005809183458164,4.724136545251493
4/3/20,1095917,58787,6.0397776638135285,4.7692812979729
4/4/20,1176060,64606,6.0704294790566165,4.81027285307075
4/5/20,1249754,69374,6.0968245354427495,4.8411967359849735
4/6/20,1321481,74565,6.1210609233099715,4.87253502219468
4/7/20,1396476,81937,6.145033476265358,4.913480058869052
4/8/20,1480202,88338,6.17032098667812,4.946147562470523
4/9/20,1565278,95521,6.194591481271548,4.980098860395517
4/10/20,1657526,102525,6.219460349485841,5.010829777959522
4/11/20,1735650,108502,6.2394621526413845,5.035437743539004
4/12/20,1834721,114090,6.263570031872682,5.057247580131245
4/13/20,1904838,119481,6.279858046312037,5.077298848788672
4/14/20,1976191,125983,6.295828917092357,5.10031194587711
4/15/20,2056054,134176,6.3130345167405775,5.127674840723474
4/16/20,2152437,143800,6.332930448881665,5.157758886046863
4/17/20,2240190,153821,6.350284854250322,5.187015630403886
4/18/20,2317758,159509,6.365068088766833,5.202785192346591
